con_date,c13,c9
2012-06-25 00:00:00,203441508.9299,8.5963
2012-06-26 00:00:00,203313754.3597,8.5963
2012-06-27 00:00:00,203709471.0136,8.5605
2012-06-28 00:00:00,203623705.5198,8.5081
2012-06-29 00:00:00,203537305.2036,8.6196
2012-07-02 00:00:00,205028610.819,8.7182
2012-07-03 00:00:00,204810272.0054,8.7383
2012-07-04 00:00:00,204791885.5277,8.7294
2012-07-05 00:00:00,204348995.1509,8.6806
2012-07-06 00:00:00,203582281.2636,8.7948
2012-07-09 00:00:00,203541279.5172,8.6025
2012-07-10 00:00:00,203671426.1399,8.5836
2012-07-11 00:00:00,203510499.4628,8.6286
2012-07-12 00:00:00,202214537.7112,8.7145
2012-07-13 00:00:00,202123219.0278,8.7286
2012-07-16 00:00:00,201888049.212,8.622
2012-07-17 00:00:00,202457740.0472,8.6434
2012-07-18 00:00:00,202500017.1357,8.653
2012-07-19 00:00:00,202583865.3794,8.6947
2012-07-20 00:00:00,202179801.5303,8.6342
2012-07-23 00:00:00,202294763.1616,8.5124
2012-07-24 00:00:00,202515319.6463,8.5126
2012-07-25 00:00:00,202158713.1258,8.4871
2012-07-26 00:00:00,202160873.1752,8.4513
2012-07-27 00:00:00,202846765.8132,8.4519
2012-07-30 00:00:00,202109512.9869,8.4556
2012-07-31 00:00:00,201464517.8482,8.4899
2012-08-01 00:00:00,201111908.8605,8.5635
2012-08-02 00:00:00,201171783.8935,8.5011
2012-08-03 00:00:00,200667250.0701,8.5891
2012-08-06 00:00:00,200856447.0596,8.6516
2012-08-07 00:00:00,199049047.6995,8.7224
2012-08-08 00:00:00,199215088.3853,8.7358
2012-08-09 00:00:00,199252190.8567,8.7848
2012-08-10 00:00:00,199318217.2528,8.7599
2012-08-13 00:00:00,200303356.3373,8.6092
2012-08-14 00:00:00,200150411.1616,8.6307
2012-08-15 00:00:00,200156502.0177,8.551
2012-08-16 00:00:00,200044556.0909,8.5309
2012-08-17 00:00:00,200336073.5734,8.5146
2012-08-20 00:00:00,200480624.6357,8.4768
2012-08-21 00:00:00,200552001.9382,8.4989
2012-08-22 00:00:00,200321180.0373,8.4647
2012-08-23 00:00:00,200189045.0013,8.4761
2012-08-24 00:00:00,198653264.6609,8.4604
2012-08-27 00:00:00,197511354.4759,8.4114
2012-08-28 00:00:00,196890663.3905,8.4997
2012-08-29 00:00:00,196040561.4894,8.4511
2012-08-30 00:00:00,195456265.1743,8.4973
2012-08-31 00:00:00,194493719.7417,8.5038
2012-09-03 00:00:00,194471305.3247,8.5374
2012-09-04 00:00:00,194396054.2883,8.4614
2012-09-05 00:00:00,194112393.2679,8.4284
2012-09-06 00:00:00,194237026.9867,8.4786
2012-09-07 00:00:00,194228384.4917,8.8053
2012-09-10 00:00:00,193911001.3223,8.8297
2012-09-11 00:00:00,193985028.5431,8.7614
2012-09-12 00:00:00,194056917.411,8.7724
2012-09-13 00:00:00,194127630.8202,8.7129
2012-09-14 00:00:00,194369991.3202,8.7693
2012-09-17 00:00:00,194538177.2037,8.5825
2012-09-18 00:00:00,194575698.0735,8.4874
2012-09-19 00:00:00,195145479.2505,8.486
2012-09-20 00:00:00,194950890.4964,8.3359
2012-09-21 00:00:00,194975022.7273,8.3481
2012-09-24 00:00:00,195222347.507,8.3716
2012-09-25 00:00:00,194774722.9384,8.3799
2012-09-26 00:00:00,195116306.7431,8.2851
2012-09-27 00:00:00,195425704.9114,8.5009
2012-09-28 00:00:00,195662667.7178,8.6172
2012-10-08 00:00:00,196413666.2864,8.5283
2012-10-09 00:00:00,196279118.7056,8.6954
2012-10-10 00:00:00,196396666.7398,8.6991
2012-10-11 00:00:00,196228354.4498,8.6482
2012-10-12 00:00:00,196004949.7073,8.6767
2012-10-15 00:00:00,195591591.5216,8.6778
2012-10-16 00:00:00,195869914.1093,8.663
2012-10-17 00:00:00,195699866.8013,8.6897
2012-10-18 00:00:00,195444271.6008,8.7995
2012-10-19 00:00:00,195583578.1094,8.7734
2012-10-22 00:00:00,195982340.4114,8.7765
2012-10-23 00:00:00,195195373.9939,8.7292
2012-10-24 00:00:00,194077396.9457,8.7744
2012-10-25 00:00:00,193999858.4184,8.7242
2012-10-26 00:00:00,193909952.5736,8.5973
2012-10-29 00:00:00,193092685.1823,8.6068
2012-10-30 00:00:00,192524211.7793,8.6545
2012-10-31 00:00:00,190977132.3722,8.7505
2012-11-01 00:00:00,190693705.6949,8.9126
2012-11-02 00:00:00,190750241.0414,8.9583
2012-11-05 00:00:00,191049598.8479,8.9281
2012-11-06 00:00:00,191041755.147,8.902
2012-11-07 00:00:00,192151864.96,8.8582
2012-11-08 00:00:00,192324742.8317,8.7305
2012-11-09 00:00:00,192714625.1931,8.7046
2012-11-12 00:00:00,193673334.5234,8.6963
2012-11-13 00:00:00,193732723.3658,8.5786
2012-11-14 00:00:00,193873848.5517,8.6046
2012-11-15 00:00:00,193969432.172,8.5052
2012-11-16 00:00:00,194197108.9619,8.4295
2012-11-19 00:00:00,193190192.0394,8.4579
2012-11-20 00:00:00,192933680.5504,8.4297
2012-11-21 00:00:00,193024803.5505,8.5108
2012-11-22 00:00:00,193052272.1224,8.4544
2012-11-23 00:00:00,193175651.4957,8.5031
2012-11-26 00:00:00,192970388.8897,8.4714
2012-11-27 00:00:00,192674481.142,8.4195
2012-11-28 00:00:00,193036056.0182,8.3599
2012-11-29 00:00:00,195101430.31,8.2422
2012-11-30 00:00:00,194888945.6706,8.309
2012-12-03 00:00:00,195329092.2481,8.2219
2012-12-04 00:00:00,195239592.8877,8.2786
2012-12-05 00:00:00,195335957.554,8.5037
2012-12-06 00:00:00,194823703.6143,8.5139
2012-12-07 00:00:00,194514120.2697,8.6431
2012-12-10 00:00:00,194965214.3738,8.7044
2012-12-11 00:00:00,195205352.113,8.6626
2012-12-12 00:00:00,194751942.3265,8.717
2012-12-13 00:00:00,195406728.9371,8.6035
2012-12-14 00:00:00,195192018.7054,8.9923
2012-12-17 00:00:00,195477247.1506,9.0074
2012-12-18 00:00:00,195882355.284,9.011
2012-12-19 00:00:00,195760660.0949,9.0173
2012-12-20 00:00:00,195792904.7604,9.0402
2012-12-21 00:00:00,196003529.2543,8.9561
2012-12-24 00:00:00,196086301.8056,8.9758
2012-12-25 00:00:00,196199793.2794,9.2072
2012-12-26 00:00:00,196158567.9429,9.2186
2012-12-27 00:00:00,196076833.2659,9.172
2012-12-28 00:00:00,195986559.7109,9.285
2012-12-31 00:00:00,196541211.4777,9.4184
2013-01-04 00:00:00,198860640.7339,9.4416
2013-01-07 00:00:00,199449595.0731,9.4336
2013-01-08 00:00:00,199500283.9958,9.3651
2013-01-09 00:00:00,199511291.5631,9.3815
2013-01-10 00:00:00,199903152.9982,9.3892
2013-01-11 00:00:00,199889394.206,9.2475
2013-01-14 00:00:00,200312966.9963,9.5183
2013-01-15 00:00:00,200568405.3117,9.5421
2013-01-16 00:00:00,200759516.2127,9.4498
2013-01-17 00:00:00,201020560.6139,9.3327
2013-01-18 00:00:00,201442652.0514,9.4452
2013-01-21 00:00:00,201972722.2047,9.4455
2013-01-22 00:00:00,199830399.7047,9.5117
2013-01-23 00:00:00,200065686.7594,9.527
2013-01-24 00:00:00,200159525.3927,9.4841
2013-01-25 00:00:00,200103804.2055,9.4293
2013-01-28 00:00:00,200268379.631,9.6547
2013-01-29 00:00:00,201830471.3416,9.6379
2013-01-30 00:00:00,202478023.6913,9.7202
2013-01-31 00:00:00,202385661.7338,9.7414
2013-02-01 00:00:00,202626158.7839,9.8971
2013-02-04 00:00:00,202941212.0281,9.9169
2013-02-05 00:00:00,202617005.9328,9.9434
2013-02-06 00:00:00,202644834.9933,9.9425
2013-02-07 00:00:00,202825748.2873,9.8531
2013-02-08 00:00:00,202810134.9506,9.8996
2013-02-18 00:00:00,203957913.3785,9.7766
2013-02-19 00:00:00,203852894.3214,9.6185
2013-02-20 00:00:00,203191777.6201,9.6891
2013-02-21 00:00:00,203193464.9595,9.3863
2013-02-22 00:00:00,203590403.7372,9.3111
2013-02-25 00:00:00,204853836.0341,9.2843
2013-02-26 00:00:00,204836381.1132,9.1582
2013-02-27 00:00:00,204987764.2884,9.239
2013-02-28 00:00:00,204986425.7188,9.454
2013-03-01 00:00:00,205110792.6162,9.3989
2013-03-04 00:00:00,205293699.7557,9.0419
2013-03-05 00:00:00,205647813.7766,9.2425
2013-03-06 00:00:00,205874425.5513,9.2995
2013-03-07 00:00:00,205757680.375,9.2062
2013-03-08 00:00:00,205759546.9198,9.1966
